level,agent_name,weight_file,difficulty,obstacles,run_id,reward,steps,collisions,success
Level_3_Walls,PPO,ppo_weights.pth,3,1,9,-974.0,1000,0,0
Level_3_Walls,PPO,ppo_weights.pth,3,1,10,-976.0,1000,0,0
Level_3_Walls,PPO,ppo_weights.pth,3,1,11,-986.0,1000,0,0
Level_3_Walls,PPO,ppo_weights.pth,3,1,12,-1000.0,1000,0,0
Level_3_Walls,PPO,ppo_weights.pth,3,1,13,-974.0,1000,0,0
Level_3_Walls,PPO,ppo_weights.pth,3,1,14,-869.0,1000,0,0
Level_3_Walls,PPO,ppo_weights.pth,3,1,15,-983.0,1000,0,0
Level_3_Walls,PPO,ppo_weights.pth,3,1,16,-967.0,1000,0,0
Level_3_Walls,PPO,ppo_weights.pth,3,1,17,-975.0,1000,0,0
Level_3_Walls,PPO,ppo_weights.pth,3,1,18,-868.0,1000,0,0
Level_3_Walls,PPO,ppo_weights.pth,3,1,19,-876.0,1000,0,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,0,-68180.0,1000,3,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,1,-195385.0,1000,1,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,2,-967.0,1000,0,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,3,-2379.0,1000,1,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,4,2061.0,56,0,1
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,5,-198674.0,1000,1,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,6,-10983.0,1000,2,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,7,-180669.0,1000,1,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,8,-134869.0,1000,2,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,9,-27768.0,1000,2,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,10,-978.0,1000,0,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,11,-69769.0,1000,6,0
Level_3_Walls,D3QN_RewSh2_RAND,weights_d3qn_RewSh2.pth,3,1,12,-79168.0,1000,4,0
